PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category
51.15,154.75,186.42,122.74,12.0,78.21,124,Unhealthy for Sensitive Groups
135.45,267.39,367.21,198.34,14.47,100.24,173,Unhealthy
97.03,262.08,396.83,247.47,13.0,95.33,168,Unhealthy
84.98,286.16,637.2,229.18,15.37,101.08,160,Unhealthy
51.39,241.32,331.22,152.14,9.8,75.59,108,Unhealthy for Sensitive Groups
101.88,333.84,443.55,213.19,13.87,97.5,192,Unhealthy
105.98,318.92,534.33,271.11,14.57,88.12,170,Unhealthy
37.79,221.35,270.68,142.83,12.31,81.56,141,Unhealthy for Sensitive Groups
180.72,415.22,768.83,523.5,26.15,120.65,280,Very Unhealthy
11.5,5.14,27.83,7.25,4.14,24.91,16,Good
186.38,408.87,759.48,329.8,19.87,112.56,273,Very Unhealthy
3.52,17.17,22.68,32.04,1.74,29.41,26,Good
87.56,307.93,471.06,221.09,14.4,91.42,200,Unhealthy
325.59,582.11,1522.36,662.37,32.6,438.21,351,Hazardous
460.69,595.01,1527.9,853.15,37.09,496.8,457,Hazardous
213.5,366.21,736.16,508.87,15.56,127.0,279,Very Unhealthy
21.91,142.99,60.98,69.38,8.32,67.71,66,Moderate
220.19,385.87,759.36,361.58,21.84,128.53,234,Very Unhealthy
160.91,416.7,662.59,512.52,28.61,130.68,300,Very Unhealthy
34.35,57.86,82.13,49.95,5.97,68.97,52,Moderate
35.66,241.53,147.79,118.2,11.96,73.8,150,Unhealthy for Sensitive Groups
1.98,8.51,45.16,0.17,1.41,27.23,39,Good
16.32,115.89,73.67,52.93,7.46,67.96,73,Moderate
37.73,212.81,133.51,168.36,9.86,74.48,118,Unhealthy for Sensitive Groups
21.03,67.12,90.03,35.44,7.0,69.93,93,Moderate
31.68,102.11,88.07,39.11,7.06,65.35,62,Moderate
8.4,7.27,46.98,11.29,1.14,18.15,5,Good
309.95,588.22,2014.51,772.3,38.95,354.59,417,Hazardous
255.92,506.43,1928.25,747.38,38.99,432.25,311,Hazardous
460.19,570.87,1679.03,663.49,43.29,248.12,414,Hazardous
32.99,82.94,68.33,52.8,5.71,55.74,74,Moderate
0.99,50.54,44.32,14.58,0.44,36.3,25,Good
