PM2.5,PM10,NO2,SO2,CO,O3
5.1,20.3,15.0,8.0,1.2,30.0
10.0,45.0,40.0,20.0,3.0,48.0
20.5,80.0,65.0,50.0,6.0,60.0
30.0,120.0,80.0,60.0,8.0,65.0
40.0,180.0,150.0,100.0,10.0,75.0
50.0,220.0,200.0,130.0,11.5,80.0
70.0,280.0,400.0,200.0,13.0,90.0
100.0,320.0,500.0,250.0,14.5,100.0
160.0,370.0,700.0,350.0,18.0,130.0
200.0,400.0,900.0,450.0,22.0,160.0
260.0,440.0,1300.0,650.0,35.0,220.0
350.0,500.0,1600.0,750.0,40.0,300.0
8.0,30.0,25.0,12.0,2.0,40.0
15.0,60.0,55.0,38.0,5.0,58.0
45.0,200.0,180.0,120.0,11.0,78.0
0.5,5.0,3.0,1.0,0.3,10.0
120.0,340.0,550.0,270.0,14.0,95.0
-5,20.0,15.0,8.0,1.2,30.0
abc,45.0,40.0,20.0,3.0,48.0
9999,80.0,65.0,50.0,6.0,60.0
